epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,1171.27,0.47359,0.48193,0.3541,0.89066,0.98441,0.96551,0.99127,0.91758,0.97922,0.96041,0.98267,0.90508,0.38714,0.28914,0.27684,0.79797,0.0010892,0.0010892,0.0010892
48,1195.9,0.4741,0.49133,0.35229,0.89838,0.97948,0.97287,0.98602,0.91449,0.983,0.9576,0.97637,0.90707,0.38496,0.28306,0.28882,0.79908,0.0010694,0.0010694,0.0010694
49,1220.7,0.46517,0.48318,0.3477,0.88684,0.98757,0.96943,0.98979,0.91708,0.98237,0.96433,0.97591,0.90196,0.40716,0.28397,0.26629,0.80578,0.0010496,0.0010496,0.0010496
50,1245.35,0.46282,0.47005,0.34696,0.88691,0.98328,0.97197,0.99176,0.91917,0.98063,0.96759,0.98223,0.90407,0.36948,0.2816,0.27958,0.79254,0.0010298,0.0010298,0.0010298
51,1270.03,0.45763,0.47494,0.34483,0.88773,0.98949,0.95952,0.98591,0.90924,0.98686,0.95697,0.97521,0.90265,0.41467,0.3107,0.27553,0.79929,0.00101,0.00101,0.00101
52,1294.69,0.45983,0.45213,0.34549,0.89015,0.99064,0.9707,0.99203,0.93137,0.98829,0.96728,0.98478,0.90702,0.3656,0.26174,0.24865,0.79732,0.0009902,0.0009902,0.0009902
53,1319.34,0.45527,0.48823,0.35094,0.88806,0.97945,0.97141,0.98825,0.91816,0.98549,0.96306,0.98404,0.90743,0.38289,0.27003,0.2696,0.8014,0.0009704,0.0009704,0.0009704
54,1344.25,0.45424,0.47181,0.34455,0.89062,0.98769,0.9707,0.99159,0.92585,0.98698,0.96815,0.98274,0.90298,0.36665,0.28408,0.2584,0.78979,0.0009506,0.0009506,0.0009506
55,1369.2,0.45096,0.46012,0.33397,0.88881,0.98203,0.97468,0.98872,0.92361,0.98075,0.9734,0.98457,0.91001,0.36464,0.26482,0.25677,0.79479,0.0009308,0.0009308,0.0009308
56,1393.74,0.44876,0.46275,0.33721,0.88706,0.98676,0.97707,0.99297,0.93179,0.98676,0.97707,0.98533,0.91558,0.35751,0.2573,0.24082,0.79238,0.000911,0.000911,0.000911
57,1418.25,0.44175,0.44978,0.32599,0.88418,0.98866,0.97325,0.99223,0.92761,0.98692,0.9707,0.98427,0.90268,0.36541,0.27167,0.2402,0.79852,0.0008912,0.0008912,0.0008912
58,1442.8,0.44146,0.45919,0.33386,0.88343,0.98834,0.97175,0.99249,0.92323,0.98834,0.97175,0.9855,0.9099,0.38594,0.27035,0.26077,0.80456,0.0008714,0.0008714,0.0008714
59,1467.55,0.44184,0.43838,0.32409,0.88206,0.98322,0.97197,0.99194,0.92637,0.98799,0.96433,0.98506,0.91464,0.37152,0.26555,0.24927,0.79073,0.0008516,0.0008516,0.0008516
60,1492.43,0.42806,0.44675,0.31616,0.88238,0.9855,0.97452,0.99169,0.93617,0.98357,0.96815,0.98432,0.92397,0.35563,0.25648,0.24772,0.79474,0.0008318,0.0008318,0.0008318
61,1516.92,0.44053,0.44448,0.32893,0.88171,0.98646,0.9707,0.99232,0.93201,0.98804,0.96561,0.98539,0.91428,0.35248,0.24927,0.24336,0.78569,0.000812,0.000812,0.000812
62,1541.66,0.43678,0.43614,0.32072,0.88341,0.98524,0.97834,0.99311,0.93396,0.98962,0.97141,0.9864,0.90952,0.35909,0.27546,0.24254,0.79353,0.0007922,0.0007922,0.0007922
63,1566.24,0.4299,0.43844,0.31603,0.8797,0.98468,0.97325,0.99281,0.92986,0.9821,0.9707,0.98521,0.913,0.35564,0.26398,0.24044,0.78855,0.0007724,0.0007724,0.0007724
64,1591,0.43268,0.44595,0.31608,0.87907,0.98583,0.9746,0.9923,0.92944,0.98708,0.97305,0.98574,0.9138,0.35922,0.25027,0.23843,0.79356,0.0007526,0.0007526,0.0007526
65,1615.61,0.42219,0.45268,0.31427,0.87635,0.97919,0.97834,0.99204,0.93569,0.97792,0.97707,0.9856,0.9159,0.3528,0.25244,0.23762,0.78812,0.0007328,0.0007328,0.0007328
66,1640.39,0.41799,0.4438,0.31328,0.8721,0.99046,0.97452,0.99318,0.93527,0.98793,0.97197,0.98611,0.91716,0.3436,0.26113,0.2303,0.7915,0.000713,0.000713,0.000713
67,1665.1,0.41867,0.42378,0.30698,0.87816,0.97951,0.97433,0.99256,0.93403,0.97823,0.97306,0.98543,0.9192,0.34949,0.26098,0.23743,0.79315,0.0006932,0.0006932,0.0006932
68,1689.85,0.41835,0.44021,0.30612,0.87506,0.98457,0.97519,0.99218,0.93759,0.98328,0.97391,0.98615,0.91466,0.34548,0.24994,0.23727,0.79006,0.0006734,0.0006734,0.0006734
69,1714.56,0.42018,0.43513,0.30998,0.87741,0.98544,0.97707,0.99088,0.9362,0.9883,0.96817,0.98529,0.91524,0.35325,0.26989,0.23711,0.78882,0.0006536,0.0006536,0.0006536
70,1739.14,0.41811,0.43717,0.30312,0.87757,0.98226,0.9707,0.9884,0.92914,0.98262,0.96688,0.9799,0.91769,0.35188,0.26052,0.245,0.79015,0.0006338,0.0006338,0.0006338
